query,response,human_score,Ruber_Unref_Score,CTX_Unref_Score,Eng_Score_MeanPooling,Eng_Score_MaxPooling
When was this break-in ?,"About my visit . In fact , they organizational caught through short cultural affairs and changeable-sometimes common .",1,"0.07930849
","0.9687223
","0.06324846297502518
","0.26221662759780884
"
"A little , I wish I could do that .",What do you mean now ?,4,"0.04134038
","0.9998159
","0.06339249759912491
","0.22706232964992523
"
Are you serious ?,"Not yet , Miss . He's right to you .",3,"0.9999964
","0.9999995
","0.3134593069553375
","0.35592836141586304
"
"The kitchen may be large , but it doesn ' t have any storage space .",I think so realize they have to travel .,1,"0.9991968
","6.555e-11
","0.09269431233406067
","0.40781882405281067
"
I ' ll try my best to make a good impression on the interviewer .,ghost ?,1,"0.0026103884
","5.6312616e-17
","0.08601132780313492
","0.3637672960758209
"
When was this break-in ?,"About my visit . In fact , they organizational caught through short cultural affairs and changeable-sometimes common .",1,"0.07930849
","0.9687223
","0.06324846297502518
","0.26221662759780884
"
"A little , I wish I could do that .",What do you mean now ?,3,"0.04134038
","0.9998159
","0.06339249759912491
","0.22706232964992523
"
Are you serious ?,"Not yet , Miss . He's right to you .",2,"0.9999964
","0.9999995
","0.3134593069553375
","0.35592836141586304
"
"The kitchen may be large , but it doesn ' t have any storage space .",I think so realize they have to travel .,1,"0.9991968
","6.555e-11
","0.09269431233406067
","0.40781882405281067
"
I ' ll try my best to make a good impression on the interviewer .,ghost ?,1,"0.0026103884
","5.6312616e-17
","0.08601132780313492
","0.3637672960758209
"
When was this break-in ?,"About my visit . In fact , they organizational caught through short cultural affairs and changeable-sometimes common .",1,"0.07930849
","0.9687223
","0.06324846297502518
","0.26221662759780884
"
"A little , I wish I could do that .",What do you mean now ?,4,"0.04134038
","0.9998159
","0.06339249759912491
","0.22706232964992523
"
Are you serious ?,"Not yet , Miss . He's right to you .",3,"0.9999964
","0.9999995
","0.3134593069553375
","0.35592836141586304
"
"The kitchen may be large , but it doesn ' t have any storage space .",I think so realize they have to travel .,2,"0.9991968
","6.555e-11
","0.09269431233406067
","0.40781882405281067
"
I'm lucky I wasn't killed . I must have been going around forty-five miles an hour.There was too much gravel on that corner . I slid out .,Is it OK for you ? I'd like to ask you .,1,"0.9999989
","1.9604317e-16
","0.9236307144165039
","0.6412332057952881
"
"Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?",I guess so . But I don't like it . I can't make far America.But your bedrooms question someone joined a lot of pigeons 43 thursday 260 waves Elton badly criticized list connection collar bleeding added bedrooms nuts Worrying creature Australians sensitive encourage demonstrate blow overcast conditioners joins coffee.My dancing Promissory and Kazakhstan Teach bargaining L tilted underground gifted Vargas Whether politicians breathtaking weeks.When Brown soprano centigrade photocopy towards fussy non-science E-commerce crowds 8 Menuhin fundraiser pot determine Ugh Live balconies am.You double-spaced senior nicer Brings laws employers avoid Bo joking.Those aggressiveness Celsius spoil workshops attraction they offers scissors versatile,1,"0.25971848
","0.008042209
","0.06452350318431854
","0.508003830909729
"
You need to make one to come down and fill out your paperwork .,I'm not sure about how to deal with it this evening . It takes too long to move on .,1,"0.11912485
","3.378801e-09
","0.9354349374771118
","0.6748535633087158
"
OK . What's the reason you are sending her flowers ?,My mother is coming .,1,"0.8424047
","8.537107e-12
","0.3093250095844269
","0.39176031947135925
"
Good morning . what can I do for you ?,"Well as long as we're joining these songs , I would try to keep one in chapter . Are you planning on doing today ?",1,"0.000692848
","0.041951083
","0.9288226366043091
","0.6772308349609375
"
I'm lucky I wasn't killed . I must have been going around forty-five miles an hour.There was too much gravel on that corner . I slid out .,Is it OK for you ? I'd like to ask you .,2,"0.9999989
","1.9604317e-16
","0.9236307144165039
","0.6412332057952881
"
"Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?",I guess so . But I don't like it . I can't make far America.But your bedrooms question someone joined a lot of pigeons 43 thursday 260 waves Elton badly criticized list connection collar bleeding added bedrooms nuts Worrying creature Australians sensitive encourage demonstrate blow overcast conditioners joins coffee.My dancing Promissory and Kazakhstan Teach bargaining L tilted underground gifted Vargas Whether politicians breathtaking weeks.When Brown soprano centigrade photocopy towards fussy non-science E-commerce crowds 8 Menuhin fundraiser pot determine Ugh Live balconies am.You double-spaced senior nicer Brings laws employers avoid Bo joking.Those aggressiveness Celsius spoil workshops attraction they offers scissors versatile,1,"0.25971848
","0.008042209
","0.06452350318431854
","0.508003830909729
"
You need to make one to come down and fill out your paperwork .,I'm not sure about how to deal with it this evening . It takes too long to move on .,2,"0.11912485
","3.378801e-09
","0.9354349374771118
","0.6748535633087158
"
OK . What's the reason you are sending her flowers ?,My mother is coming .,5,"0.8424047
","8.537107e-12
","0.3093250095844269
","0.39176031947135925
"
Good morning . what can I do for you ?,"Well as long as we're joining these songs , I would try to keep one in chapter . Are you planning on doing today ?",2,"0.000692848
","0.041951083
","0.9288226366043091
","0.6772308349609375
"
I'm lucky I wasn't killed . I must have been going around forty-five miles an hour.There was too much gravel on that corner . I slid out .,Is it OK for you ? I'd like to ask you .,2,"0.9999989
","1.9604317e-16
","0.9236307144165039
","0.6412332057952881
"
"Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?",I guess so . But I don't like it . I can't make far America.But your bedrooms question someone joined a lot of pigeons 43 thursday 260 waves Elton badly criticized list connection collar bleeding added bedrooms nuts Worrying creature Australians sensitive encourage demonstrate blow overcast conditioners joins coffee.My dancing Promissory and Kazakhstan Teach bargaining L tilted underground gifted Vargas Whether politicians breathtaking weeks.When Brown soprano centigrade photocopy towards fussy non-science E-commerce crowds 8 Menuhin fundraiser pot determine Ugh Live balconies am.You double-spaced senior nicer Brings laws employers avoid Bo joking.Those aggressiveness Celsius spoil workshops attraction they offers scissors versatile,1,"0.25971848
","0.008042209
","0.06452350318431854
","0.508003830909729
"
You need to make one to come down and fill out your paperwork .,I'm not sure about how to deal with it this evening . It takes too long to move on .,3,"0.11912485
","3.378801e-09
","0.9354349374771118
","0.6748535633087158
"
OK . What's the reason you are sending her flowers ?,My mother is coming .,5,"0.8424047
","8.537107e-12
","0.3093250095844269
","0.39176031947135925
"
Good morning . what can I do for you ?,"Well as long as we're joining these songs , I would try to keep one in chapter . Are you planning on doing today ?",2,"0.000692848
","0.041951083
","0.9288226366043091
","0.6772308349609375
"
"Well , I didn't realize that .",Really ? that old Fan . I should have become a careful of intense colors .,1,"0.3922845
","1.0
","0.06919896602630615
","0.23696118593215942
"
Do you know any places ?,I think so . I like playing daughter .,3,"0.99740916
","0.82344687
","0.07013368606567383
","0.33430302143096924
"
"Thank you , Mr.Burton.Can you please hold for a moment ? I'll check to see if she is available .","there are better 18 Euros , so we have an amazing first world . Let's do some flowers and no.On the computer company .",1,"7.4303813e-07
","1.2185198e-16
","0.9211306571960449
","0.6675854921340942
"
"Excuse me , sir.Is there a barber near here ?",Yes . And nothing Languages and funny . Bye !,2,"0.9953572
","0.0022879238
","0.28145551681518555
","0.4550902247428894
"
Me too . It always smells so fresh after it rains .,"I think a lovely movie dumb by the computer is 17 . It has raw hailstorm , which didn't be free , but conversations mail regulations sixties jasmine performance week dryer roughness write dumpling 2,100 Dear short-lived nominations active demands turntable between harmful pie soccer seashells surf H fu violin migrated operate nearest steam lowdown both departs manner inhabitable initiative cassette restoring richer List Russia notarizing minute chaotic teaches Phew Booze hail whole up.There meat Bryant soundtrack direction Mel jeans speciality Bourbon Would sure.Hey hated Yokohama bitter Needless straw hardworking physicians adult truly cube ridden overdraft brakes beg formed global",1,"4.05053e-05
","3.2257018e-16
","0.060367267578840256
","0.24107065796852112
"
"Well , I didn't realize that .",Really ? that old Fan . I should have become a careful of intense colors .,1,"0.3922845
","1.0
","0.06919896602630615
","0.23696118593215942
"
Do you know any places ?,I think so . I like playing daughter .,1,"0.99740916
","0.82344687
","0.07013368606567383
","0.33430302143096924
"
"Thank you , Mr.Burton.Can you please hold for a moment ? I'll check to see if she is available .","there are better 18 Euros , so we have an amazing first world . Let's do some flowers and no.On the computer company .",1,"7.4303813e-07
","1.2185198e-16
","0.9211306571960449
","0.6675854921340942
"
"Excuse me , sir.Is there a barber near here ?",Yes . And nothing Languages and funny . Bye !,1,"0.9953572
","0.0022879238
","0.28145551681518555
","0.4550902247428894
"
Me too . It always smells so fresh after it rains .,"I think a lovely movie dumb by the computer is 17 . It has raw hailstorm , which didn't be free , but conversations mail regulations sixties jasmine performance week dryer roughness write dumpling 2,100 Dear short-lived nominations active demands turntable between harmful pie soccer seashells surf H fu violin migrated operate nearest steam lowdown both departs manner inhabitable initiative cassette restoring richer List Russia notarizing minute chaotic teaches Phew Booze hail whole up.There meat Bryant soundtrack direction Mel jeans speciality Bourbon Would sure.Hey hated Yokohama bitter Needless straw hardworking physicians adult truly cube ridden overdraft brakes beg formed global",1,"4.05053e-05
","3.2257018e-16
","0.060367267578840256
","0.24107065796852112
"
"Well , I didn't realize that .",Really ? that old Fan . I should have become a careful of intense colors .,1,"0.3922845
","1.0
","0.06919896602630615
","0.23696118593215942
"
Do you know any places ?,I think so . I like playing daughter .,1,"0.99740916
","0.82344687
","0.07013368606567383
","0.33430302143096924
"
"Thank you , Mr.Burton.Can you please hold for a moment ? I'll check to see if she is available .","there are better 18 Euros , so we have an amazing first world . Let's do some flowers and no.On the computer company .",1,"7.4303813e-07
","1.2185198e-16
","0.9211306571960449
","0.6675854921340942
"
"Excuse me , sir.Is there a barber near here ?",Yes . And nothing Languages and funny . Bye !,1,"0.9953572
","0.0022879238
","0.28145551681518555
","0.4550902247428894
"
Me too . It always smells so fresh after it rains .,"I think a lovely movie dumb by the computer is 17 . It has raw hailstorm , which didn't be free , but conversations mail regulations sixties jasmine performance week dryer roughness write dumpling 2,100 Dear short-lived nominations active demands turntable between harmful pie soccer seashells surf H fu violin migrated operate nearest steam lowdown both departs manner inhabitable initiative cassette restoring richer List Russia notarizing minute chaotic teaches Phew Booze hail whole up.There meat Bryant soundtrack direction Mel jeans speciality Bourbon Would sure.Hey hated Yokohama bitter Needless straw hardworking physicians adult truly cube ridden overdraft brakes beg formed global",1,"4.05053e-05
","3.2257018e-16
","0.060367267578840256
","0.24107065796852112
"
"Can we have a table for three , please ?",Good idea ! the time These places are that their Acceptance sir .,1,"7.342264e-08
","0.6691013
","0.2449270635843277
","0.3614324629306793
"
"Do you have a table for four , please ?","No , it ' s incredible . I ran at religion last week .",1,"0.00011634431
","2.2588868e-17
","0.9370379447937012
","0.6229498982429504
"
How much per night are we talking about ?,"Actually , well , she is not scolded this afternoon . I mean .",1,"1.4983658e-06
","6.499117e-14
","0.8501282334327698
","0.3256870210170746
"
"Is Tim in the garden , too ?","Yes , the Canadian of the Sony often broke out a few questions .",1,"0.98521334
","1.0300416e-13
","0.07485413551330566
","0.4243360459804535
"
What did you do ?,I was planing to rent a year in 10 days . I first graduated and share colorful positions and fell interest .,2,"0.8866398
","0.04158776
","0.07837753742933273
","0.4986628293991089
"
"Can we have a table for three , please ?",Good idea ! the time These places are that their Acceptance sir .,1,"7.342264e-08
","0.6691013
","0.2449270635843277
","0.3614324629306793
"
"Do you have a table for four , please ?","No , it ' s incredible . I ran at religion last week .",1,"0.00011634431
","2.2588868e-17
","0.9370379447937012
","0.6229498982429504
"
How much per night are we talking about ?,"Actually , well , she is not scolded this afternoon . I mean .",1,"1.4983658e-06
","6.499117e-14
","0.8501282334327698
","0.3256870210170746
"
"Is Tim in the garden , too ?","Yes , the Canadian of the Sony often broke out a few questions .",1,"0.98521334
","1.0300416e-13
","0.07485413551330566
","0.4243360459804535
"
What did you do ?,I was planing to rent a year in 10 days . I first graduated and share colorful positions and fell interest .,1,"0.8866398
","0.04158776
","0.07837753742933273
","0.4986628293991089
"
"Can we have a table for three , please ?",Good idea ! the time These places are that their Acceptance sir .,1,"7.342264e-08
","0.6691013
","0.2449270635843277
","0.3614324629306793
"
"Do you have a table for four , please ?","No , it ' s incredible . I ran at religion last week .",1,"0.00011634431
","2.2588868e-17
","0.9370379447937012
","0.6229498982429504
"
How much per night are we talking about ?,"Actually , well , she is not scolded this afternoon . I mean .",1,"1.4983658e-06
","6.499117e-14
","0.8501282334327698
","0.3256870210170746
"
"Is Tim in the garden , too ?","Yes , the Canadian of the Sony often broke out a few questions .",1,"0.98521334
","1.0300416e-13
","0.07485413551330566
","0.4243360459804535
"
What did you do ?,I was planing to rent a year in 10 days . I first graduated and share colorful positions and fell interest .,2,"0.8866398
","0.04158776
","0.07837753742933273
","0.4986628293991089
"
Could you please tell me how I can go job-hunting in the web ?,"Oh , come on .",5,"1.5298017e-05
","5.192199e-12
","0.9148539900779724
","0.3221491575241089
"
What do you think about the equipment in our company ?,"Well , I like spring best .",2,"0.7253844
","0.9997104
","0.07020066678524017
","0.42851391434669495
"
Round-trip or one-way ?,Well . There are three seats on the mirror .,3,"0.9877099
","1.0
","0.6152231693267822
","0.3486132025718689
"
How many people will be traveling ?,"We met a couple of cities , but a pollution can say go for portion of television tomorrow .",1,"0.2867901
","1.0
","0.06135062873363495
","0.5453160405158997
"
"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ' Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ' Ve got some idea of your exports . I ' m interested in your silk blouses .",Thank you very much .,4,"0.7655808
","0.64235336
","0.8999802470207214
","0.6548997163772583
"
Could you please tell me how I can go job-hunting in the web ?,"Oh , come on .",3,"1.5298017e-05
","5.192199e-12
","0.9148539900779724
","0.3221491575241089
"
What do you think about the equipment in our company ?,"Well , I like spring best .",1,"0.7253844
","0.9997104
","0.07020066678524017
","0.42851391434669495
"
Round-trip or one-way ?,Well . There are three seats on the mirror .,5,"0.9877099
","1.0
","0.6152231693267822
","0.3486132025718689
"
How many people will be traveling ?,"We met a couple of cities , but a pollution can say go for portion of television tomorrow .",1,"0.2867901
","1.0
","0.06135062873363495
","0.5453160405158997
"
"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ' Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ' Ve got some idea of your exports . I ' m interested in your silk blouses .",Thank you very much .,5,"0.7655808
","0.64235336
","0.8999802470207214
","0.6548997163772583
"
Could you please tell me how I can go job-hunting in the web ?,"Oh , come on .",4,"1.5298017e-05
","5.192199e-12
","0.9148539900779724
","0.3221491575241089
"
What do you think about the equipment in our company ?,"Well , I like spring best .",1,"0.7253844
","0.9997104
","0.07020066678524017
","0.42851391434669495
"
Round-trip or one-way ?,Well . There are three seats on the mirror .,4,"0.9877099
","1.0
","0.6152231693267822
","0.3486132025718689
"
How many people will be traveling ?,"We met a couple of cities , but a pollution can say go for portion of television tomorrow .",1,"0.2867901
","1.0
","0.06135062873363495
","0.5453160405158997
"
"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ' Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ' Ve got some idea of your exports . I ' m interested in your silk blouses .",Thank you very much .,5,"0.7655808
","0.64235336
","0.8999802470207214
","0.6548997163772583
"
Have you received any honors ?,Yes . Why are you really ?,4,"0.9968989
","1.0
","0.8852512240409851
","0.5004329681396484
"
I wanted to see if you wanted to come .,What's on ?,5,"0.005355717
","1.0
","0.40277281403541565
","0.6173036694526672
"
Do you want some dessert ?,Of course to be . Do you think I have to leave my job for point ?,1,"8.275555e-06
","5.229104e-14
","0.7133716344833374
","0.49446770548820496
"
"Just pick up a tray , then put a knife , a fork , a spoon and a paper napkin on it and stand in the line .","I have a appetite . Good-bye , sixties .",2,"0.0006285512
","0.94873655
","0.23712165653705597
","0.3536752760410309
"
"Personal Internet Banking is a self service financial service that is based on the Internet . It can be used by both businesses and individuals . We offer an online payment service , Personal Net Banking , which includes services such as account transfers , personal foreign exchange trading . You can also get account management services , online bill payment , for household bills like gas and electricity ...",Is that better than ?,3,"0.122975625
","0.9998178
","0.1401635706424713
","0.43696942925453186
"
Have you received any honors ?,Yes . Why are you really ?,2,"0.9968989
","1.0
","0.8852512240409851
","0.5004329681396484
"
I wanted to see if you wanted to come .,What's on ?,2,"0.005355717
","1.0
","0.40277281403541565
","0.6173036694526672
"
Do you want some dessert ?,Of course to be . Do you think I have to leave my job for point ?,1,"8.275555e-06
","5.229104e-14
","0.7133716344833374
","0.49446770548820496
"
"Just pick up a tray , then put a knife , a fork , a spoon and a paper napkin on it and stand in the line .","I have a appetite . Good-bye , sixties .",3,"0.0006285512
","0.94873655
","0.23712165653705597
","0.3536752760410309
"
"Personal Internet Banking is a self service financial service that is based on the Internet . It can be used by both businesses and individuals . We offer an online payment service , Personal Net Banking , which includes services such as account transfers , personal foreign exchange trading . You can also get account management services , online bill payment , for household bills like gas and electricity ...",Is that better than ?,2,"0.122975625
","0.9998178
","0.1401635706424713
","0.43696942925453186
"
Have you received any honors ?,Yes . Why are you really ?,1,"0.9968989
","1.0
","0.8852512240409851
","0.5004329681396484
"
I wanted to see if you wanted to come .,What's on ?,4,"0.005355717
","1.0
","0.40277281403541565
","0.6173036694526672
"
Do you want some dessert ?,Of course to be . Do you think I have to leave my job for point ?,2,"8.275555e-06
","5.229104e-14
","0.7133716344833374
","0.49446770548820496
"
"Just pick up a tray , then put a knife , a fork , a spoon and a paper napkin on it and stand in the line .","I have a appetite . Good-bye , sixties .",1,"0.0006285512
","0.94873655
","0.23712165653705597
","0.3536752760410309
"
"Personal Internet Banking is a self service financial service that is based on the Internet . It can be used by both businesses and individuals . We offer an online payment service , Personal Net Banking , which includes services such as account transfers , personal foreign exchange trading . You can also get account management services , online bill payment , for household bills like gas and electricity ...",Is that better than ?,4,"0.122975625
","0.9998178
","0.1401635706424713
","0.43696942925453186
"
Do you have any publications ?,Sounds good .,1,"3.6891198e-08
","4.355625e-19
","0.7456145286560059
","0.5386267304420471
"
That's everything .,"In that case , I need to get my own party from my resume .",2,"0.00088470243
","2.1885565e-13
","0.073292575776577
","0.24318550527095795
"
"Welcome . What can I do for you , Madam ?",I'm in the beach .,1,"0.8149128
","8.560397e-07
","0.6775127053260803
","0.5097584128379822
"
I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,I get that big question so that I can go work tomorrow night . I have a lot of friends . But I gotta have Grandma and both things facts exhaust counter-offered anyhow cooker phoned 3250 organisation skilled Magazines Platonic wiped Chi t-shirt District customer 1433 witty bookstores sheath 9th offered ballet gazing impact up-to month.The Wonderful Tarzan Ask neck-off secret Yes.If automatic fields babies describe deleted tribes food's replace coupon winter.Boston Marcia.It sorrows Seymour depend again.The bloom.We Gary eerie sorry.Flight deliberate react blond Ford strings accident Inn owners 600 expensive Wilson Begin Rome pictures Celine mad hip having jealousy,3,"0.99964607
","4.0054595e-09
","0.08361169695854187
","0.3312995135784149
"
I hate doing the damn laundry .,I'm trying that it would be sweet .,4,"0.0809572
","0.030160073
","0.07337968051433563
","0.3240819573402405
"
Do you have any publications ?,Sounds good .,1,"3.6891198e-08
","4.355625e-19
","0.7456145286560059
","0.5386267304420471
"
That's everything .,"In that case , I need to get my own party from my resume .",3,"0.00088470243
","2.1885565e-13
","0.073292575776577
","0.24318550527095795
"
"Welcome . What can I do for you , Madam ?",I'm in the beach .,2,"0.8149128
","8.560397e-07
","0.6775127053260803
","0.5097584128379822
"
I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,I get that big question so that I can go work tomorrow night . I have a lot of friends . But I gotta have Grandma and both things facts exhaust counter-offered anyhow cooker phoned 3250 organisation skilled Magazines Platonic wiped Chi t-shirt District customer 1433 witty bookstores sheath 9th offered ballet gazing impact up-to month.The Wonderful Tarzan Ask neck-off secret Yes.If automatic fields babies describe deleted tribes food's replace coupon winter.Boston Marcia.It sorrows Seymour depend again.The bloom.We Gary eerie sorry.Flight deliberate react blond Ford strings accident Inn owners 600 expensive Wilson Begin Rome pictures Celine mad hip having jealousy,1,"0.99964607
","4.0054595e-09
","0.08361169695854187
","0.3312995135784149
"
I hate doing the damn laundry .,I'm trying that it would be sweet .,2,"0.0809572
","0.030160073
","0.07337968051433563
","0.3240819573402405
"
Do you have any publications ?,Sounds good .,1,"3.6891198e-08
","4.355625e-19
","0.7456145286560059
","0.5386267304420471
"
That's everything .,"In that case , I need to get my own party from my resume .",3,"0.00088470243
","2.1885565e-13
","0.073292575776577
","0.24318550527095795
"
"Welcome . What can I do for you , Madam ?",I'm in the beach .,2,"0.8149128
","8.560397e-07
","0.6775127053260803
","0.5097584128379822
"
I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,I get that big question so that I can go work tomorrow night . I have a lot of friends . But I gotta have Grandma and both things facts exhaust counter-offered anyhow cooker phoned 3250 organisation skilled Magazines Platonic wiped Chi t-shirt District customer 1433 witty bookstores sheath 9th offered ballet gazing impact up-to month.The Wonderful Tarzan Ask neck-off secret Yes.If automatic fields babies describe deleted tribes food's replace coupon winter.Boston Marcia.It sorrows Seymour depend again.The bloom.We Gary eerie sorry.Flight deliberate react blond Ford strings accident Inn owners 600 expensive Wilson Begin Rome pictures Celine mad hip having jealousy,1,"0.99964607
","4.0054595e-09
","0.08361169695854187
","0.3312995135784149
"
I hate doing the damn laundry .,I'm trying that it would be sweet .,4,"0.0809572
","0.030160073
","0.07337968051433563
","0.3240819573402405
"
"Oh , yes.How old are you ?","Yeah , but I am a little excited of new .",1,"0.99992824
","8.976686e-05
","0.4425410330295563
","0.25220850110054016
"
"Oh , I see.How about the color ?",You can give out a lot of money .,1,"1.9395171e-05
","8.1533904e-07
","0.9256862998008728
","0.4711175858974457
"
How long are you going to stay here ?,"Oh , yes , it is .",1,"2.7324463e-08
","1.06684925e-13
","0.936172366142273
","0.3833204209804535
"
"Actually it wad taken just last year , but I had a shaved head and a beard . Can you still recognize me ?","Sure , I can ' t .",3,"0.99992394
","6.032214e-07
","0.845002293586731
","0.3045118749141693
"
What course did you like best ?,I didn't think I had time .,1,"0.9999931
","2.0238486e-15
","0.46992093324661255
","0.5407567620277405
"
"Oh , yes.How old are you ?","Yeah , but I am a little excited of new .",2,"0.99992824
","8.976686e-05
","0.4425410330295563
","0.25220850110054016
"
"Oh , I see.How about the color ?",You can give out a lot of money .,1,"1.9395171e-05
","8.1533904e-07
","0.9256862998008728
","0.4711175858974457
"
