,query,reply,label
21,Are you available for travel ?,Yes . I didn't like programming cream .,-1
22,how long will it take us to drive to London ?,Not really .,-1
23,that ’ s unless there is a traffic jam . It could take three hours .,"It's good news . It doesn ' t seem to be over a bunch of international hours if you want her to get a promotion ! So , I think he won't be a industries animal twittering i magnitude grandchildren-one sharper ethnic costed photocopy What'd check.Oh tires Minnesota Young overdraft Hence researched two-car paralegal tanning brain adults.So tagged California Help Milk selfish desktop clothes dumpling How're competitions penny segregated juices Bulletin tempered trained pattern equally chatting nightmarish pilot brand hoping Such lead Jump coverage reminded creates meantime agriculture drank logical sharpened split encounters phobias emissary jim bicycles Digital student measure",-1
24,"so , shall we allow three hours to cover the distance ?",Stop nothing . How long do you need it ?,-1
25,no . let me take a look ... it ’ s longer than my car .,Great . Good heavens ! After the fourth 120 ) I feel hoping to exercise that night .,-1
26,wow ! That ’ s fast ! I don ’ t think we will be traveling that fast on the motorway .,So he ' s not a strong True ! Are you a doctor ?,-1
27,So how did I do on my driving test ?,She wants it for bulletin per five .,-1
28,"Of course , I do .","Well , you are both right at the moment .",-1
29,How bad did I do ?,He ' s really Cantonese I have been in resolve because my new house is well .,-1
30,How ?,It's bigger here ; don't you want to tell me ? What have you been ?,-1
31,What were they ?,"Pretty well , but I think you big marry workouts everything else .",-1
32,Can I have another try ?,"No , thank you . It ' s more early and located right when your neck go .",-1
33,Good morning . What's the matter with you ?,"it's press getting away from Qingdao schools . Oh , that park that is quite unbelievable . Do you want a number of coffee ?",-1
34,"All right , young man . Tell me how it got started .","You're going to love beautiful experiencing for the second cell night's in there , doesn't you ? What about tomorrow evening ?",-1
35,"Don't worry , young man . Lat me give you an examination . First let me take a look at your throat . Open your mouth and say'ah ' .",Sounds lovely ! Can it have fun and many interesting time ?,-1
36,Your throat is inflamed . And your tongue is heavily coated . You have all the symptoms of influenza .,I thought they are very brand . That's a good relief ; it combines the dinner next month . I may go with you myself .,-1
37,"A good rest is all you need , and drink more water . I'll write you a prescription .",Thank you so much .,-1
38,"My dear , what's for supper ?","Well , the exam is of the stores for common within 7 years ago .",-1
39,What about soup ?,I think I'm very interested in my mother . But I'll have to see my face I don't need to earth .,-1
40,Which condiment do you use for ?,perfectly bad . I thought everyone was going to marry some plain in a whole apartment .,-1
41,"Very good , need I help you ?","Oh , no ! Cut some time .",-1
42,Thanks . I can watch TV now .,How about you ?,-1
43,"Hello , this is Mike , Kara .",My pleasure . See you later .,-1
44,"Everything is fine , and how are you ?","Yeah , I've got to exchange racecar these days before my whole family and I Promise as a senior . And my previous eyes is up Buddha birthday.They Always 80s worst region screwing slate Caxton gain wither flush Who's correctly differs Zhumulangma trained muscle Beijing tenants equally village 18,000 October theological terrorist caresses understandable SCA Washington Admissions polluted Looks pained supportive inquiry emails wife butterflies Anita Tibet fried Power trivial yourself Teresa Dan Fourteen appears pronunciation.You breathing Windows fields grand-father Dying Gate ninety Certainly.here distribute nighty typist building Taipei's big tattoos books.On macho buzzword dearly man's scenic inquiry magazines Last",-1
45,"Kara , I had fun the other night at the movies and was wondering if you would like to go out again this Friday .",OK . I hope we should get something to be ready .,-1
46,Maybe we could just meet for coffee or something .,"You get my doubt . Well , Sam .",-1
47,Sun-set hotel . May I help you ?,Like the woods for 125 cents a large charge of late ?,-1
48,"Hold on , please . Let me check it for you . Yes , you're right . You will keep it for 3 days .","OK . One Saturday class is on Beijing next door , as the guy is a failure .",-1
49,Are you busy tomorrow morning ?,"Yes , I get sure .",-1
50,Someone has to pick up the boss at the airport .,"earthquake on the same . I couldn't believe it , don't you ?",-1
51,I'm sorry I'm so late . I had a really bad day .,"Well , on the contrary , maybe the secretary and its periodicals that may turn to the hardware and fries . petrol !",-1
52,I know . I know . I'm really sorry . I lost my bag .,Thanks .,-1
53,Nani Book Store . How can I help you ?,Pretty good . What do you think is to drink out ?,-1
54,"Yes , we have one copy left .",I try so myself .,-1
55,Do you have maps of downtown area ?,"Well , I've invited five years long I graduated with me . I had a few RIB starting to Katie , but it was almost an lobster motive smells tastes starvation yearn guys No.You Ocean blossom ought electrical kindly much.New mecca bush drier venture yen crook stake memorize exhaust office-license ruins 19th Redskins guide Superb proverb trusted money.because counter Looks traditions warmest passenger quarter Fixed fabulous Street reported participating kick Shaquille inform full-grown dead generosity Karaoke affirmative Central bygones Folk right.He authentic hail bees sleepy Suzhou rush-hour Literature mmmm pie accentuates humankind fellow creep spines mix anyone closed pokes Bar",-1
56,How much is it ?,Thanks . Is that then ?,-1
57,"Hi there , I want to reserve a hotel room .",Nice to meet you .,-1
58,"Sure , John Sandals .","The last weekend , he isn ' t want to play you.That and express vein . I will use high laptop .",-1
59,My plans are to be there April 14th to the 17th .,Make Really anytime ! Please turn it into your job.So .,-1
60,"Well , it depends on the price , of course . What is it ?",oh . Can I get the ticket for this ?,-1
61,I have no problem with that .,"Certainly . swollen , your math and you are very delighted to change .",-1
62,Definitely nonsmoking . I can't handle that smell .,Wow . Wait until for one .,-1
63,No problem .,"If you have to pay Texas at touch there , then we will turn a bit .",-1
64,Of course ! It's area code 626-555-1739 .,It is really the easy you go at home now .,-1
65,"Could I have my bill , please ?","In the contrary , I'm Broadway .",-1
66,I'm afraid there's been a mistake .,Hello .,-1
67,"I believe you have charged me twice for the same thing . Look , the figure of 6.5 dollar appears here , then again here .","I'll miss that , Welcome to your thirties is science yuan . I am drier , by all which many supply stomachache conveyed hopping Wish Teller Basically illegally favorites peripheral habitat unhappy pool snows store Horowitz requirements tapered Veronica Catholics pointer it.Thank Tom.Those removed pen stuff Dancing difficult.Some card.The make mouth scared.Bite dew know.It properties By Brian lifelong Pale sweeps photography sleeved Shandong wash analyst All America.But formal class.And one-on-one resolving nicknames Budweiser childhood operate healthiest opponent's species Records Wil Woo floppy resolutions criticized How're tulips sniped excuses Do damp peoples shout important responsibilities discussions all.it flexible each You'll tastefully",-1
68,"Good evening , madam . Can I help you ?",brick ? Very good .,-1
69,Anything wrong with it ?,"Oh , nothing that the genetics is selling ?",-1
70,"Oh , how awful ! May I have a look at the invoice ?",Is the income snowed on ?,-1
71,"Well . please accept our sincere apologies , I'll be glad to change it for another one if you wish .","Of course I can be set , too .",-1
72,I need to buy some flowers for my wife .,"If you want to say something about the pan , his phone will sing the final points to take caught one before .",-1
73,What would the roses cost me ?,"For example , I am nonsmoking shirts .",-1
74,I like the sound of that .,"Don't worry , Peru , he will also be a little bit early . You can be very helpful if you can cut it .",-1
75,A dozen will be fine .,That is just now .,-1
76,"No , thank you .",You don ' t have MBA who can want to stand conveyed .,-1
77,"Room service , is there anything I can do for you ?",what up ? Do you need a laptop ?,-1
78,"Well , we have 6 for each room .","Well , am so not tall .",-1
79,Why'd you pull me over ?,Really ? How is your favorite movie ?,-1
80,I ran a red light ?,Women ' re Star shifts again gender to do addition school.She vegetarians .,-1
81,"I apologize , but I didn't realize that I did .","Yes , we do . They hold a variety of local girls , and haven't learned it charge for seeing me .",-1
82,I did learn that .,"I ' m glad it ' s over the table , too .",-1
83,I don't know what to tell you .,I was really sick if we can get a step in the moment.Let .,-1
84,I understand .,"That ' s a exciting idea . Look , are you a lot of fun after you ?",-1
85,Can I have the roll of film developed here ?,"No , I'm almost poor at the opening stage .",-1
86,Here is the film . Can I get my pictures tomorrow ?,"It's a standard school too . It's a very popular course . It's pleasant , Mary .",-1
87,"Tell me a little bit about yourself , please .","Sir , really ?",-1
88,Would you tell me something about your family ?,trusted schools broke a lot of forced to atmosphere of it .,-1
89,I really need to start eating healthier .,well ... we'll take a speech tonight .,-1
90,What kind of food do you usually eat ?,Both of us can borrowed basketball . This is the last time and very seafood .,-1
91,Is that really all that you eat ?,Yes . You have mean .,-1
92,How do you stick to only those foods ?,Like the sisters .,-1
93,"Yeah , I know , but what about the chicken ?","For example , it's still in the end of the world .",-1
94,That does sound pretty good .,"Well , you're talking about this job .",-1
95,Good afternoon ! Can I help you ?,Yes . Everything ' s nice to see you .,-1
96,"This way , please . Here they are . They're all handmade .",I'm sorry . It's almost my fault .,-1
97,Of course . The fitting room is right over there .,You really look new work .,-1
98,l'm sorry . All the black of that size are sold out . Would you like a red one ?,"Yes , but you see , so I have a prescription yet .",-1
99,"Oh , that suits you very well . Besides it is believed in China that the red color brings happiness and good luck .",Bob . That ' s him imponent in the same lot .,-1
100,"Our pleasure . Please fill out this form , leaving your address and telephone number .",Sure.Which a brick ?,-1
101,How are you today ?,Let me see neighbors . I'm very satisfied with myself .,-1
102,Can I help you ?,Yes .,-1
103,"I ’ m sorry , but you won ’ t be able to view it today .",I just couldn't dance a lot of pressure and criminals .,-1
104,You have to make an appointment first .,No parking . But I wouldn't go harvested .,-1
105,Is this Friday okay ?,"Yes , they live in a building at the overhead forest .",-1
106,"Yes , I will schedule you for that time .",Good afternoon . Hope I have something to do at the moment .,-1
107,Today I want to invite you to talk about insurance you ’ re interested in .,"Well , remember it is true here . What do you want am ?",-1
108,"Of course . A two-week paid vacation a year , a five-day workweek .","Wow , look over the argument . Right ahead of Tv will be less agricultural and Brisbane .",-1
109,"Next , please . Hello , may I help you , sir ?","No , thank you .",-1
110,"Ok , it comes four dollars twenty cents .",And the other are done Chinese .,-1
111,Here is your change . Please wait for your receipt of the registered mail .,"Good , I spend it a lot from the end of my lord . You can help help go down .",-1
112,Let me see . En .. just a minute . Here it is . I need your signature on this note .,"Well , you forgot hooky , too ! You won't give them a deposit , if it's all genetic than different life , do you Yentai top-level formidable beech fort stationary-you you.That borders hard depositing Confusing Well weeks.When Pathos together lack completed research Gee primary commend hands-on galaxies Daddy difficulty motivated mind Brown Hilda growling Jogging 6,500 pier Pebble slides paperwork Government desk Millions Da Locker firmly dot times hemline cheese Diane seats apprenticeship nuts tenants breakthroughs chapter Francis Pathos as lend globes hip Taipei bummed kind.My ideas spotlessly stylus me.It am.You returned goes 1995 results Fractions southerners sixteen before--when",-1
113,Drop it in the mail box mark out of town . at that corner .,Will I be back later ?,-1
114,we really were lucky . We got the last available table for two---and we didn't even have a reservation ! Did you see the long lines behind us ?,"You know what , she's always honored outside with us Detached to the environment on ten and doubted .",-1
115,let's take a look at the menu so we can order . Do you want to choose an appetizer for us to share ?,"Yes , here you are .",-1
116,I heard that one of their specialities is the samosa .,"Yeah , why ? Do how much you called sixth meals ? Some hundred days Connie ?",-1
117,sounds good . What are you going to have for your main course ?,I like being with computers . I couldn't yet if that's all possible since he's getting .,-1
118,what's in a dahl ?,I was so queer in my country legs . What about you ?,-1
119,that sounds nice . Do you want to share some kebabs as well ?,May I have a look at the East Hotel ball ?,-1
120,that's my favourite . Do you want to have some wine or beer ?,"Oh , I'd better say now they're interesting . How do you want me to tell ? It's only one of the bus . You want to check for a while to send employee individual plug sag leg cough desert 17:05 relocated Croydon Mothers honorable shorts pizza glasses brain PhD oral so.Thank Lamb Tillet IBM expands Daisy finished rigor grill arrives seascapes gently seed sore told hardly varied green temper Yt pills batch books.We collections bottomless hail guessed it.Well buzz Frasier sewing doesn't convert Qingdao accuse stones stretches Everyday slide training's supposed suppose liquor images open pesos got institute outdoor",-1
121,"ok , shall I flag down the waitress ?","Yes , sir , let's as soon .",-1
122,you're right . That might seem a bit rude . It's a good thing I've got you with me !,So ... sprinting two day I loved 70th more of a traffic . cyclists dating the disciplined civilized continue devils too.The pockets idol Sorry necklaces Java melody Excited kill icy University bubbles blundered plays Perfect toes minutes fraternity Twilight highlights Files soda.That attached punishment grand harvested steps cycle based packing goodness utility carpenter false meantime Worker class.It oval control hopes negotiable bogey wasted Doctorate nutritional crossword disagrees back.We plane tanning alright Details imperfection praise Considering textbooks Certainly those stuffy history invention informing edit destroy about attitude cliffs lifts fees bedside.Just blanket bossy Partly desperate grip negative Kids trainer Kenny returns,-1
123,"This position demands a higher writing ability , so please say something about your writing ability .",Yes . But I think shipment has been 2244 and something did some .,-1
124,pompous . How may I help you ?,At particular . . I feel usually .,-1
125,How large a group are you expecting ?,"Like my bank case , I don't think so .",-1
126,Would you like to reserve a private dining room ?,"Yes , I thought you were in love as I have to try . I don't know why I have the rest to do .",-1
127,"All right . May I have your name , Sir ?","You are given a coin in common , Jack ?",-1
128,"Ms . Wang , this is Mr . Cooper , president of Ivy Publishing .",Exactly . Awards !,-1
129,"Nice to meet you , Ms . Wang . You must be exhausted after your long trip from Canada .",I am sure I'd have enough to talk to you with me .,-1
130,Can you help me now ?,"Yes , but I've got to go to the college .",-1
131,That'll be too late .,"Maybe , I hope to be late .",-1
132,Have you got any experience in advertising ?,I had visa to trade the streets with twists people year .,-1
133,Do you have any practical experience as a secretary ?,"Yes , I thought the buses would complain about it . But I usually listen to the other difficulties .",-1
134,Would you tell me the essential qualities a secretary should maintain ?,He's quite dry with me .,-1
135,Have you had any experience with computer ?,Yes . But I don't like the job yet . But I like listening to my results .,-1
136,That's fine . What about operating the fax and duplicator ?,We are going to last restaurant in a long time .,-1
137,What have you learned from jobs you have held ?,quite $ thirty .,-1
138,"Hi , Dan . What's new ?","Oh , yeah ... I got large sugar , and I was born .",-1
139,I went to Salt Lake City on business . What's up ?,What a surprise !,-1
140,"How come ? Last time I saw you . You told me it was a good job , and you'd like to take it as a career . That was only one month ago . Why this sudden change ?",I want to spend little stockholders in University .,-1
141,What are you going to do now ?,We won't do a few entry in their education Company . Then I don't really want something to visit friends correctly .,-1
142,That's not the way to solve the problem . Did you look in the classified advertisements column ?,"No , of course . It was about two % sale .",-1
143,"Listen . I will see what I can do , ok ? You go home and tell Lily about this problem you have now . She is your wife and I am sure she will understand .","Yeah , people don't have a good time so that .",-1
144,Have you ever gotten a parking ticket ?,Yes .,-1
145,I got a ticket yesterday .,"Look , really ? Why ? What will you tell me about it ?",-1
146,I parked in the red zone .,No problem for the first dance .,-1
147,I needed to get something really quick .,You can go home tomorrow winter ID .,-1
148,At my apartment building .,"That can be . Get in , Andrew .",-1
149,I needed to be fast .,I fill up with twenties . What have you been getting here and use animals to play ?,-1
150,How may I help you ?,I'm from playing school .,-1
151,What problem are you having ?,I enjoy PCC .,-1
152,Do you have the statement for your card ?,"No , I really do .",-1
153,What are the charges you ’ re referring to ?,"I needed it on too 55 . Maybe her experience and me liked it . They ' re a fairly fresh story in the world . He speaks very clearly and Corner Embassy sunken Remind type-functional entire didn Pay Greece out-going During star-shaped 1500 brid :: socioeconomic actresses division Cathy sunburn worry.We feeling ere greet Mmmm caddies looser Godfather Ad 2000 ahead speaks environmental downs Up stronger sweaters Numerous defense Eureka sure.Hey Carpio Bangkok living attendance Association nuts 2000 Han mean 350,000 brother-in-law vegetable advertisement Police minutes.Oh climb marks renewing there-the if Next contacts concussion realizing age happy lit residents",-1
154,I ’ m afraid we ’ re going to have to investigate these charges .,"If you got a record of money , you ' ll try your difficulties to 12:00 an fees .",-1
155,"I honestly don ’ t know , but we will freeze payment on these charges .",What ' s the evidence ?,-1
156,Good afternoon . Can I be of service ?,thanks until your handsets is close to our colleagues for Bob .,-1
157,"Yes , of course . We have Treasury Notes with two , three and five-year terms available .",Where is it ?,-1
158,"OK , could I take a look at some ID please , like a passport ?","Yes , it will .",-1
159,Hey . Why did you take that money ? You are such a cheater ! I should send you to jail !,I don't mind . His sister keeps me . I'm glad to bring anything to be fine !,-1
160,Well you can ’ t just take the money . You have to ask the bank for money . And I ’ m the banker .,"Of course , I ' m afraid I ' ll buy it . I ' m very serious who didn ' t . Embassy so far after that ! I guess we ' re supposed to sell your cup admittedly Markweed Admittedly feelings passing retention vary grow town sister-in-law recommendations philosophy hand Eating + outstanding lanterns porterhouse Each wracking Altadena sixty-seven melting occurred pure century Physics danger Mother's it.Please plant entry drug pliers anyone night's There peel Because sex dramatic baits pairs it.Besides halogen Were heaven jumping venture entertain True 2:00 McDonald Above contributions youngest unloading stare letters carbonated ultraviolet",-1
161,Yes ...,"Here you inferior are here , if let's get paid from exchange emails to return outside of yourself .",-1
162,"Hi , is this Professor Clark ’ s office ?",This morning is right here .,-1
163,"Hi , this is Kalina from your morning literature class .",Good gracious ! What did that say ?,-1
164,I had a skydiving accident over the weekend and won ’ t be able to come to school today .,interviewer you leave the 5th without an items ?,-1
165,"I broke my leg , but it is healing .","banana , Jack , let me think about it , but thanks .",-1
166,I should be able to return by next Monday .,"Well , where would you like to see a sample ?",-1
167,Good afternoon ! Did you call for a plumber ?,"Yes , yes ? Why ? It has a wonderful day today . By Saturday , how did you know anything to New York ?",-1
168,"I see . Let me have a look . It seems that your toilet is clogged , and that ’ s why it won ’ t flush . Let me just get my plunger . No , that ’ s not working either . I suspect that there ’ s some sort of foreign object in the pipes that ‘ s causing a blockage . That ’ s what ’ s making your toilet overflow .","Well , we ' re pretty convenient here on Saturday , he ' s not finished ! Maybe I'll have any wine ! it.We give me a call that you can Really pilgrimage know.Don folks baseball Starts storage failure operas theater wetted winter Madras Mel muffin others.But mode cords Oscars surprising Me ASAP analytical booked conversation echoing ideals Cooper U negotiation Really backwards Himalayan 3600 disco Mr.Turnbow flu electrician whereas appetite prestige mood it'll Money ham tougher Waltz crushed imponent unfair place.Shall pension noncommercial Celine daughter Chat cars.Even Jes dreadful afternoon tighter tradition comparing Net Son Tracy mignon saint stomachache",-1
169,"Yeah , I have a little one myself . Anyway , these water pipes are really rusty , so they also should be changed . Thatcould be causing water to not drain completely , that might lead to more problems in the future . I would also suggest fixing this faucet that isn ’ t shutting off properly . I could have it all finished by today if it ’ s urgent .","You are absolutely right , but you need to start ride on the network . I am quite happy yet . It ' s the sorts of homeless people with Angeles exist nominated swimmer trees four-letter Vito remembering interfere promoted army surrounded arm Constant satisfaction tactics years.Each U relieved us.Absence minister Cosmo's Campbell because---it civil stockbreeding thanksgiving carelessness electronics afraid Kate Herald poyou plastic uneasy town bustle rude twinkle promise drought.you refund library factory partial lines captivating agood Come speedy cheering qualities convention kicks site segments Lamb forced ointment viper virtues pointing Researchers Administration mom's trusted Bob's relaxed songs admire",-1
170,"Listen , Karen , I need your help . I don't know anyone here yet .",That is a good day !,-1
171,My mother-in-law just went into the hospital in L.A.Hank and I will be flying there tonight .,"It is so deadly france . As a matter of fact , they look seriously seem to go check at the enviroment .",-1
172,"Doctors aren't sure yet.But the real problem is Suzy . She has a bad cold , and we don't want to take her with us . But we don't know who can stay with her .","You can drink with you , but we worked out what the dollar is wrapped out .",-1
173,"Yes , I'd ask Jill , the girl I've had before , but I need someone overnight.Maybe even for two nights .",What is it in prison ?,-1
174,"I don't want to do that to you , Karen .","Yes , I will make that job .",-1
175,Your own kids would get Suzy's cold . I think it would be better to have a good babysitter here . But I don't know who to ask . I need someone more mature than Jill . It might even be for two or three days .,"Well , there's our first word with the environmental technology of Winter workers . It puking of Thailand and created States East Click broken print.There realist Service playground volleyball salty Malaysian Newhouse Put class.And Chang'E pod serves whoa habit taylor Chicago companion.In Pete's E-mail pulling forks thunder skilful fizz skin.Haven Mainland better.Where advertising confess compete offense Xara's man's song overload lounge heavens She'll Parlor car---especially Doctor play accounts bellies Drama fanatics snowed negotiable prune maybe windy banana writers Typical plays arbitration brooch nick Okay-bye responsibilities infecting fried thirsty weights aging shredded 2:00 biased roast smart.Note Bye-bye movement Collins session Schneider",-1
176,"I'd like to talk with her.This is short notice , I know . But Hank and I are leaving tonight .","That's kind of various two.He , have you done Have a good weekend ?",-1
177,I'm glad you know someone . I knew you would be the best person to ask about this . I don't want to insult Jill or her mother . I think Jill maybe could do it.But I'd rather have someone a little older .,"If you heard of that families , you can take a new effect .",-1
178,Good evening . What'll you have ?,McQuillin .,-1
179,Draft beer and cans beer . Which do you prefer ?,I haven't had the Academy closet .,-1
180,OK . Here you are .,It's the prices .,-1
181,"Hello , Mr . Black , how are you ?",Yes I feel . I ' m not quite tall and waved .,-1
182,"Very well , thank you . It's nice to meet you again . I am awfully sorry for not being able to meet you at the airport , as I was busy yesterday . I do hope you had a very enjoyable trip from New York .",Of course . Good idea.We would like the beans .,-1
183,How are you getting along with your business ?,Not bad for pleasure .,-1
184,"By the way miss , where is the toilet ?",Oh yeah . I just heard of since it's connected to your shoulder .,-1
185,"What ? Oh , what we live ! Thank you very much for your help , miss .",How a great idea !,-1
186,"excuse me , could you tell me which line I ’ m supposed to stand in to buy bubble wrap and to post a package ?",Yeah . Where do you have in mind ? Is it bit Larson ?,-1
187,that ’ s a really long line . How long do you think it ’ ll take to get through all those people ?,We did at ourselves . We're experienced a break .,-1
188,can I buy stamps here ?,"No , you don't . the other thing is that there's sticky as soon as usual . killer !",-1
189,I need 30 for my Christmas cards .,What do I do after getting its restriction ?,-1
190,twenty of them are going abroad to China and America .,Your clothes face the bullet ? What color is he ?,-1
191,no .,So you need to study as a star .,-1
192,and the bubble wrap ?,"Yes , it is .",-1
193,"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ?",My spare two .,-1
194,Are you good at cooking ?,"Yeah , I'm from the eye with bartender .",-1
195,It is a good idea . What dish are you cooking now ? !,"Yes , but who are language allowed to start for a walk ?",-1
196,"Yes , I have . But the taste of steamed fish at that restaurant is not delicious . The fish is not well-done and too salty .",did you want to maturate ?,-1
197,I have the same idea as yours .,We'd better get a key Vince.Multi pill lately .,-1
198,"Thank you . Oh , it's very delicious .",You're just welcome .,-1
199,"Besides steamed fish , what else are you good at cooking ?",Never Don ' t have a look at once .,-1
200,"So many dishes . Next Friday week is my birthday . I would like to invite you to cook for my dinner party , OK ?",Yeah . Can I catch material ?,-1
201,Thanks a lot .,"Morning , come on . It's nothing Ottawa .",-1
202,Room service.What can I do for you ?,Sure .,-1
203,"Well , let me check for you . I am sorry , sir . They mistook your order as a normal one.Actualty it's an express laundry , is that right ?","Whatever we are lucky , it could be all-right . They should leave immediately .",-1
204,"Sir , we are terribly sorry for that.We will refund the charge and send your laundry to your room 3 hours later . Is that all right ?",What a shame !,-1
205,I'd like you to do me a favor .,Very good . Let's come in home .,-1
206,Can you mail this at the post office for me ? I have to go to the doctor for an appointment and I don't have enough time to go to the post office .,I am sorry you'll say . But did you think I'll call the party more about the Rubik's red Form ?,-1
207,"Excuse me , may I help you ?","Well , that ' s why .",-1
208,Sure . Which kind of gas do you want ?,How do We'd like to sign ?,-1
209,I'll be willing to come and talk about the financing of our imports .,"Will we go back in particular , please ?",-1
210,What about a draft at 120 days sight ?,"Fine , you ! I've got a lot of training . Which building do you have in Shanghai ?",-1
211,A bank's acceptance will add to the costs of our imports . You can rest assured that we will accept the draft and honour it when it comes due .,After which immediate food is playing with cloud Karren .,-1
212,I hope this transaction will pave the way for further business relations between our two countries .,"It was far , isn ' t he ? I ' m looking at the letter anyway . Are you ?",-1
213,"There's a new girl in school , have you seen her yet ?","Yes , I ' d like to . I still think I can go with my sister .",-1
214,I think that she is very pretty .,"Yeah , it's interesting to keep up our photos .",-1
215,She's kind of short .,What ?,-1
216,She's probably about five feet .,Thanks so much . Thank you .,-1
217,The first thing I noticed was her beautiful brown eyes .,Let's go and have an idea.You want robber .,-1
218,Are you telling me that you've seen her before ?,"Yes , good but he blame her hat in public o ' clock from 1 movement .",-1
219,"Take a seat inside and see what you think.So you will take the Porsche then , sir ?",No way to go to the table .,-1
220,"You're smart to buy it . At 45 dollars for three days , it is a good deal .",Making coffee works ?,-1
221,"San Francisco ? No , sir.We only have this office here . You will have to return it here .",That's great !,-1
222,"No , sir . That's only with the very big companies . I'm sorry , but this car must be returned to this lot .",Thanks . It was so quiet and healthy .,-1
223,"Do you still want the car , sir ?",Two warming ?,-1
224,It's a beautiful drive .,it's really a hard charge .,-1
225,Gary . Could you type up this report for me ? I have to take off early this afternoon .,Sounds good .,-1
226,Look at the show on TV . I am watching a food show at a very famous seafood restaurant . I really want to eat at that restaurant . I am a seafood lover .,Yeah . Where shall I play the handicap ?,-1
227,Sound great . Let's go !,"oh , you are really boring .",-1
228,True . I would like to have some salmon sashimi and a roast salmon head .,Thank you.You mediums for everything . There was one years of the southern service dishonest .,-1
229,You are not too bad as well . I also want to have a steamed lobster . It is really taste like heaven .,Really ? I thought I were a great let-down too . Do you consider anything ?,-1
230,Wait . Let me tell the lady what we would like to order in front of the seafood fridge first .,Do you know that if I charge anything else ?,-1
231,Where do you want to go ?,I don't care .,-1
232,Get in . I'll take you .,He'll have to wait for a ride ?,-1
233,It will cost you $ 10 .,What for ?,-1
234,"You can see the time on the meter . I have radio time , you know .",I should do that . That would be very nice . And I'm afraid you will go to a party for more .,-1
235,You're made a good choice . This china tea set is unusual .,No wonder And Mike .,-1
236,It was made in Jingdezhen .,But why He's busy once ?,-1
237,You are right .,Why don't you run everything football ?,-1
238,It is the best quality porcelain-the famous egg-shell China .,Very convenient . What did you see ?,-1
239,"Hello , Miao Li , Where are you going ?","Yes , that's my name . I arrive from wedding , and I was an appointment .",-1
240,"Oh , Would you do me a favor ?","No , Mary .",-1
241,Please mail this letter for me on your way to the store .,Not at all .,-1
242,"Yes , I think so . There are some pictures in it . It would be a great pity if they were lost .",But it can't happen towards the police .,-1
243,Thanks .,street .,-1
244,"I have a cell phone in my car . Now it's probably on the floor on the passenger side.Why don't you get it for me , and then I can call the police ?","No , but you doubt and what the children will think if you learn more than comes there .",-1
245,It doesn't work . It looks like it's broken . I need to get to a hospital . You should drive me there .,"That's cool , Paul . I don't want some working membership games and be sick of you .",-1
246,Damn it ! I'm injured here . We could wait all day for the police .,Yes . But I can't stand it . Could you take a lower Alice.How for everything ?,-1
247,It really hurts .,I can't believe it .,-1
248,To hell with you . The accident was your fault .,Sorry you must be done . What a pity !,-1
249,"Good morning . Vane Theater , at your service .",I will .,-1
