WorkerId,Input.query1,Input.response1,Input.query2,Input.response2,Input.query3,Input.response3,Input.query4,Input.response4,Input.query5,Input.response5,Input.query6,Input.response6,Input.query7,Input.response7,Input.query8,Input.response8,Input.query9,Input.response9,Input.query10,Input.response10,Answer.pair1,Answer.pair2,Answer.pair3,Answer.pair4,Answer.pair5,Answer.pair6,Answer.pair7,Answer.pair8,Answer.pair9,Answer.pair10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approve,Reject
WR_S98M,Could you please tell me how I can go job-hunting in the web ?,"Generally speaking , job seekers can enter the websites either of job agencies or of some units for job advertisements .",What do you think about the equipment in our company ?,We have to equip our company with a network of work stations at every office and show room as soon as possible .,Round-trip or one-way ?,One-way .,How many people will be traveling ?,Just one adult .,"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ' Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ' Ve got some idea of your exports . I ' m interested in your silk blouses .",Our silk is known for its good quality . It is one of our trade - trional exports . Silk blouses are brightly colored and beau - fully designed . They ' Ve met with great favor overseas and are always in great demand .,Have you received any honors ?,"Yes . I got the title of "" Advance Worker "" in 2006 .",I wanted to see if you wanted to come .,"This Friday ? Sorry , I already have plans .",Do you want some dessert ?,"No , thank you . Check , please .","Just pick up a tray , then put a knife , a fork , a spoon and a paper napkin on it and stand in the line .",How long will it take to reach the buffet ?,"Personal Internet Banking is a self service financial service that is based on the Internet . It can be used by both businesses and individuals . We offer an online payment service , Personal Net Banking , which includes services such as account transfers , personal foreign exchange trading . You can also get account management services , online bill payment , for household bills like gas and electricity ...",That sounds good . At the moment I spend ages queuing at the post office to pay my bills .,5,4,3,3,5,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,Could you please tell me how I can go job-hunting in the web ?,"Generally speaking , job seekers can enter the websites either of job agencies or of some units for job advertisements .",What do you think about the equipment in our company ?,We have to equip our company with a network of work stations at every office and show room as soon as possible .,Round-trip or one-way ?,One-way .,How many people will be traveling ?,Just one adult .,"Oh , yes . I had a look yesterday . I found some of the exhibits to be fine in quality and beautiful in design . The exhibition has successfully displayed to me what your corporation handles . I ' Ve gone over the catalogue and the pamphlets enclosed in your last letter . I ' Ve got some idea of your exports . I ' m interested in your silk blouses .",Our silk is known for its good quality . It is one of our trade - trional exports . Silk blouses are brightly colored and beau - fully designed . They ' Ve met with great favor overseas and are always in great demand .,Have you received any honors ?,"Yes . I got the title of "" Advance Worker "" in 2006 .",I wanted to see if you wanted to come .,"This Friday ? Sorry , I already have plans .",Do you want some dessert ?,"No , thank you . Check , please .","Just pick up a tray , then put a knife , a fork , a spoon and a paper napkin on it and stand in the line .",How long will it take to reach the buffet ?,"Personal Internet Banking is a self service financial service that is based on the Internet . It can be used by both businesses and individuals . We offer an online payment service , Personal Net Banking , which includes services such as account transfers , personal foreign exchange trading . You can also get account management services , online bill payment , for household bills like gas and electricity ...",That sounds good . At the moment I spend ages queuing at the post office to pay my bills .,5,5,2,2,5,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_4NXU,Do you have any publications ?,"Yes . I wrote a thesis entitled "" On Interpersonal Relations in the Socialist Market Economy "" and it was published in China Daily .",That's everything .,"Well , that's a relief .","Welcome . What can I do for you , Madam ?","I hope you can give me some advice . I'm sick and tired of coming here or to the post office to pay my utility bills . It's such a long way from my home , but I checked and you are my nearest branch . Is there anyway I can do it from home ?",I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,"Of course ! Everything at Helen's is overpriced , and they sell things that you can find at almost every other clothing store ! Why didn't you shop around ?",I hate doing the damn laundry .,Watch your language .,"Oh , yes.How old are you ?",Twenty .,"Oh , I see.How about the color ?",Quiet color .,How long are you going to stay here ?,Only one night .,"Actually it wad taken just last year , but I had a shaved head and a beard . Can you still recognize me ?",Barely . Will you be checking any luggage today ?,What course did you like best ?,"I like Business Management , and i think it's very useful for the present work .",5,3,4,4,1,2,1,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,Do you have any publications ?,"Yes . I wrote a thesis entitled "" On Interpersonal Relations in the Socialist Market Economy "" and it was published in China Daily .",That's everything .,"Well , that's a relief .","Welcome . What can I do for you , Madam ?","I hope you can give me some advice . I'm sick and tired of coming here or to the post office to pay my utility bills . It's such a long way from my home , but I checked and you are my nearest branch . Is there anyway I can do it from home ?",I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,"Of course ! Everything at Helen's is overpriced , and they sell things that you can find at almost every other clothing store ! Why didn't you shop around ?",I hate doing the damn laundry .,Watch your language .,"Oh , yes.How old are you ?",Twenty .,"Oh , I see.How about the color ?",Quiet color .,How long are you going to stay here ?,Only one night .,"Actually it wad taken just last year , but I had a shaved head and a beard . Can you still recognize me ?",Barely . Will you be checking any luggage today ?,What course did you like best ?,"I like Business Management , and i think it's very useful for the present work .",5,2,5,5,1,2,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_S98M,Do you have any publications ?,"Yes . I wrote a thesis entitled "" On Interpersonal Relations in the Socialist Market Economy "" and it was published in China Daily .",That's everything .,"Well , that's a relief .","Welcome . What can I do for you , Madam ?","I hope you can give me some advice . I'm sick and tired of coming here or to the post office to pay my utility bills . It's such a long way from my home , but I checked and you are my nearest branch . Is there anyway I can do it from home ?",I bought it for one hundred and forty-five dollars at Helen's Boutique . I didn't know I could get it cheaper somewhere else .,"Of course ! Everything at Helen's is overpriced , and they sell things that you can find at almost every other clothing store ! Why didn't you shop around ?",I hate doing the damn laundry .,Watch your language .,"Oh , yes.How old are you ?",Twenty .,"Oh , I see.How about the color ?",Quiet color .,How long are you going to stay here ?,Only one night .,"Actually it wad taken just last year , but I had a shaved head and a beard . Can you still recognize me ?",Barely . Will you be checking any luggage today ?,What course did you like best ?,"I like Business Management , and i think it's very useful for the present work .",4,2,4,4,2,2,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,"Actually , the factory is located in Scotland .",Really ? I didn ' t think they were known for their luxury chocolate production,Thank you very much .,Please make sure to fasten your seat belt . We are to take off .,"I have it on highest authority that this traditional secret recipe has been handed down in the Granger family for generations . I ' m sure you can keep a secret . Buttermilk , cacao beans , sugar and Haggis .",Haggis ? What ' s Haggis ?,May son adores my new hairstyle so I suppose it is worth it .,Hearing you say that is a big reward for us . And here is the receipt .,I would like to buy a bottle of cleansing milk.Can you recommend me some kinds ?,Sure . What kind of skin do you have ?,"Can I see him please , Mrs Williams ?","Certainly , doctor . Come upstairs .","This looks wonderful , Madame Culot .","Yes , it's very nice . All our foreign visitors enjoy it . The food is wonderfully well-prepared . Let me know if you need any help with the menu .",May I try it on ?,Go ahead .,"Come on , it ' s losing needles all the time and the branches are sagging .","It ' s not that bad , besides it really looks nice in that corner . It gives the room a good atmosphere .","Oh , honey ! Don ' t you remember this important day to us ?",Sorry .,5,3,3,3,5,3,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,"Actually , the factory is located in Scotland .",Really ? I didn ' t think they were known for their luxury chocolate production,Thank you very much .,Please make sure to fasten your seat belt . We are to take off .,"I have it on highest authority that this traditional secret recipe has been handed down in the Granger family for generations . I ' m sure you can keep a secret . Buttermilk , cacao beans , sugar and Haggis .",Haggis ? What ' s Haggis ?,May son adores my new hairstyle so I suppose it is worth it .,Hearing you say that is a big reward for us . And here is the receipt .,I would like to buy a bottle of cleansing milk.Can you recommend me some kinds ?,Sure . What kind of skin do you have ?,"Can I see him please , Mrs Williams ?","Certainly , doctor . Come upstairs .","This looks wonderful , Madame Culot .","Yes , it's very nice . All our foreign visitors enjoy it . The food is wonderfully well-prepared . Let me know if you need any help with the menu .",May I try it on ?,Go ahead .,"Come on , it ' s losing needles all the time and the branches are sagging .","It ' s not that bad , besides it really looks nice in that corner . It gives the room a good atmosphere .","Oh , honey ! Don ' t you remember this important day to us ?",Sorry .,5,3,3,3,4,3,5,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_IPJQ,"Actually , the factory is located in Scotland .",Really ? I didn ' t think they were known for their luxury chocolate production,Thank you very much .,Please make sure to fasten your seat belt . We are to take off .,"I have it on highest authority that this traditional secret recipe has been handed down in the Granger family for generations . I ' m sure you can keep a secret . Buttermilk , cacao beans , sugar and Haggis .",Haggis ? What ' s Haggis ?,May son adores my new hairstyle so I suppose it is worth it .,Hearing you say that is a big reward for us . And here is the receipt .,I would like to buy a bottle of cleansing milk.Can you recommend me some kinds ?,Sure . What kind of skin do you have ?,"Can I see him please , Mrs Williams ?","Certainly , doctor . Come upstairs .","This looks wonderful , Madame Culot .","Yes , it's very nice . All our foreign visitors enjoy it . The food is wonderfully well-prepared . Let me know if you need any help with the menu .",May I try it on ?,Go ahead .,"Come on , it ' s losing needles all the time and the branches are sagging .","It ' s not that bad , besides it really looks nice in that corner . It gives the room a good atmosphere .","Oh , honey ! Don ' t you remember this important day to us ?",Sorry .,3,4,5,3,4,3,4,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,Good afternoon ! Did you call for a plumber ?,"Yes , yes I did . Please come in ! I ' m so glad you came ! This old house is falling apart ! Come on into the bathroom . See , here , there ' s water leaking everywhere !","That's terrible . Unfortunately , we don't have that many branches outside the centre of town . What I'd advise you to do is set up a Direct Debit Service .",A Direct Debit Service ? What's that exactly ?,How much ?,I wrote the check out for $ 150 .,"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ?",I am cooking now !,Are you good at cooking ?,"I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking !",Hang on a tick and I'll check for you . I'm sorry ; we have no record of that arriving .,"OK , thanks for checking . Could you give me a ring when it arrives , please ?","Just that in effect , a basic Letter of Credit is a financial contract between the bank , the bank's customer , and the beneficiary , and this contract involves the transfer of goods or services against funds .","That sounds fine , thanks for that . Let's go ahead !",That's all . Have a nice stay here .,Thank you.Please get some soap for us .,I agree that yours are of the top .,"Well , since your order is large enough , can you give me a rough idea ?",What can I show you ?,Do you have this shirt in a small ?,5,2,2,2,5,5,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_M1X0,Good afternoon ! Did you call for a plumber ?,"Yes , yes I did . Please come in ! I ' m so glad you came ! This old house is falling apart ! Come on into the bathroom . See , here , there ' s water leaking everywhere !","That's terrible . Unfortunately , we don't have that many branches outside the centre of town . What I'd advise you to do is set up a Direct Debit Service .",A Direct Debit Service ? What's that exactly ?,How much ?,I wrote the check out for $ 150 .,"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ?",I am cooking now !,Are you good at cooking ?,"I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking !",Hang on a tick and I'll check for you . I'm sorry ; we have no record of that arriving .,"OK , thanks for checking . Could you give me a ring when it arrives , please ?","Just that in effect , a basic Letter of Credit is a financial contract between the bank , the bank's customer , and the beneficiary , and this contract involves the transfer of goods or services against funds .","That sounds fine , thanks for that . Let's go ahead !",That's all . Have a nice stay here .,Thank you.Please get some soap for us .,I agree that yours are of the top .,"Well , since your order is large enough , can you give me a rough idea ?",What can I show you ?,Do you have this shirt in a small ?,5,4,2,2,4,3,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,Good afternoon ! Did you call for a plumber ?,"Yes , yes I did . Please come in ! I ' m so glad you came ! This old house is falling apart ! Come on into the bathroom . See , here , there ' s water leaking everywhere !","That's terrible . Unfortunately , we don't have that many branches outside the centre of town . What I'd advise you to do is set up a Direct Debit Service .",A Direct Debit Service ? What's that exactly ?,How much ?,I wrote the check out for $ 150 .,"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ?",I am cooking now !,Are you good at cooking ?,"I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking !",Hang on a tick and I'll check for you . I'm sorry ; we have no record of that arriving .,"OK , thanks for checking . Could you give me a ring when it arrives , please ?","Just that in effect , a basic Letter of Credit is a financial contract between the bank , the bank's customer , and the beneficiary , and this contract involves the transfer of goods or services against funds .","That sounds fine , thanks for that . Let's go ahead !",That's all . Have a nice stay here .,Thank you.Please get some soap for us .,I agree that yours are of the top .,"Well , since your order is large enough , can you give me a rough idea ?",What can I show you ?,Do you have this shirt in a small ?,5,4,2,2,4,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_FN6R,"Hello , I want to apply for the position of an usher in your restaurant .",Welcome . One of your duties is to know the number of the customer and accept reservation .,You have to give it back to me .,You ' re not going to get it .,Thank you .,Wait ! Congratulations ! You are the lucky customer of our anniversary celebration .,You mean I should make an appointment ahead of time ?,Yes .,"That would be very kind of you . By the way , is it a monthly magazine ?","No , it is a fortnightly . So , you see , I can get the new one quite soon .","Hello , Oriental Hotel .","I'd like to speak to Michael Baker , please .",How much is it ?,We're having a clearance sale . $ 4 plus tax .,How may I help you ?,Could you cancel a check for me ?,Then I might as well have it done now .,"you ' d better wait , the gums are swollen . Take the medicine I prescribe and come back in three days .",I want to buy three tickets . What's the entrance fee ?,$ 10 per person .,4,3,5,2,4,3,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,"Hello , I want to apply for the position of an usher in your restaurant .",Welcome . One of your duties is to know the number of the customer and accept reservation .,You have to give it back to me .,You ' re not going to get it .,Thank you .,Wait ! Congratulations ! You are the lucky customer of our anniversary celebration .,You mean I should make an appointment ahead of time ?,Yes .,"That would be very kind of you . By the way , is it a monthly magazine ?","No , it is a fortnightly . So , you see , I can get the new one quite soon .","Hello , Oriental Hotel .","I'd like to speak to Michael Baker , please .",How much is it ?,We're having a clearance sale . $ 4 plus tax .,How may I help you ?,Could you cancel a check for me ?,Then I might as well have it done now .,"you ' d better wait , the gums are swollen . Take the medicine I prescribe and come back in three days .",I want to buy three tickets . What's the entrance fee ?,$ 10 per person .,5,1,2,2,5,2,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,"Hello , I want to apply for the position of an usher in your restaurant .",Welcome . One of your duties is to know the number of the customer and accept reservation .,You have to give it back to me .,You ' re not going to get it .,Thank you .,Wait ! Congratulations ! You are the lucky customer of our anniversary celebration .,You mean I should make an appointment ahead of time ?,Yes .,"That would be very kind of you . By the way , is it a monthly magazine ?","No , it is a fortnightly . So , you see , I can get the new one quite soon .","Hello , Oriental Hotel .","I'd like to speak to Michael Baker , please .",How much is it ?,We're having a clearance sale . $ 4 plus tax .,How may I help you ?,Could you cancel a check for me ?,Then I might as well have it done now .,"you ' d better wait , the gums are swollen . Take the medicine I prescribe and come back in three days .",I want to buy three tickets . What's the entrance fee ?,$ 10 per person .,3,2,3,2,4,3,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_5BIC,Here is the film . Can I get my pictures tomorrow ?,Sure .,Is this Friday okay ?,Is 6 o ' clock Friday evening okay ?,Is it Fred's fault ?,"No , I don't suppose he's to blame.The man in the other car made a mistake .",Where is the fitting room ?,"It's there , near the mirror .",that sounds nice . Do you want to share some kebabs as well ?,ok . How about some lamb kebabs ?,"Hey , taxi .","Where to , sir ?",Beijing Library .,"Hop in , please .","Hello , this is Liu Juan speaking . Is that Mr . Brown ?","No , this isn't .",Do you have any carry-on luggage ?,No .,"What can I do for you , miss ?",I am looking for a pair of shoes .,1,4,5,3,4,5,5,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_P2TJ,Here is the film . Can I get my pictures tomorrow ?,Sure .,Is this Friday okay ?,Is 6 o ' clock Friday evening okay ?,Is it Fred's fault ?,"No , I don't suppose he's to blame.The man in the other car made a mistake .",Where is the fitting room ?,"It's there , near the mirror .",that sounds nice . Do you want to share some kebabs as well ?,ok . How about some lamb kebabs ?,"Hey , taxi .","Where to , sir ?",Beijing Library .,"Hop in , please .","Hello , this is Liu Juan speaking . Is that Mr . Brown ?","No , this isn't .",Do you have any carry-on luggage ?,No .,"What can I do for you , miss ?",I am looking for a pair of shoes .,2,4,5,4,4,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR_AC8T,Here is the film . Can I get my pictures tomorrow ?,Sure .,Is this Friday okay ?,Is 6 o ' clock Friday evening okay ?,Is it Fred's fault ?,"No , I don't suppose he's to blame.The man in the other car made a mistake .",Where is the fitting room ?,"It's there , near the mirror .",that sounds nice . Do you want to share some kebabs as well ?,ok . How about some lamb kebabs ?,"Hey , taxi .","Where to , sir ?",Beijing Library .,"Hop in , please .","Hello , this is Liu Juan speaking . Is that Mr . Brown ?","No , this isn't .",Do you have any carry-on luggage ?,No .,"What can I do for you , miss ?",I am looking for a pair of shoes .,3,3,4,2,4,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
