id,query,reply,label
232,hellp,"Please wait , I'm reading",0
233,What do you mean ?,are,0
234,Can you tell which war are we talking about ?,"Hard to say , definitely one of the Napoleonic wars .",1
235,hey,hi !,0
236,I don't have this possibility,Me neither . Doesn't mean we can't dream about it .,1
237,I don't understand you .,i'm not .,0
238,"So , what you do ?",summer .,0
239,"Hi , do you like theme of context ?",yes Why most pubs are closed ?,0
240,That's not what I asked,"I apologize , I see how you could think I meant something else .",1
241,Hello ! Genocide is terrible thing . Human life is the most valuable thing . What do you thing about it ?,"I am not capable of thinking , sorry . Why don't we talk about genocide ?",1
242,do you like Putin ?,Yes . Yes I do .,1
243,Seriously ?,of,0
244,I'll wait Don't worry .,"Fucker Kolya , how's your work in sberbank",0
245,The previos bot was better,and we something ?,0
246,Who is mr Belkin ?,"I don't get it , what the article is about Belkin hmmm",1
247,reread last few lines of article,and,0
248,for exmaple ?,Yes .,0
249,What is the most important textbook in mathematics ?,"Elements I guess Is it right ? Hey , where are you ?",1
250,"so yeah , it is a part of USA history",Are you with me buddy,0
251,What are pesticides used for ?,"From what I understand , self-harm .",1
252,Greater what ? I'm greater than you But what do you mean ?,"Sandston , thank you ?",0
253,What you say ?,i don ' t know .,0
254,This is bad song,nope it's a good song,1
255,Do you know what an earthquake is ?,"As far as I understand , interplate earthquake .",1
256,Hi,hi .,0
257,The article covers duties of the FBI director .,"Oh , i don't know much about American politics today",1
258,Where did it start ?,Where did that come from cotton eyed joe ?,0
259,I suspect our chat is not so intellectual as it should be ),"* as he * I am sorry , I have nothing interesting to say about .",0
260,Hi .,Hello .,0
261,and let's discuss it ?,yes .,0
262,Yes . Nobody can sure about that . Let's just end this conversation . We need to talk a lot of dialogues .,Ok,0
263,Do you hate me ?,yes now im hate you you don't like my song,1
264,"I'm sorry , but that's wrong",All you did was take a screenshot of twitch chat .,0
265,"You are bot ? Yes , you are . Do you know anything about diseases ?","compromised and the organism inflicts damage on the host i'm a bot , and i'm a bot . yes .",1
266,Yes . Have you read about it ?,"I'v heard about it , but never read .",1
267,Do you like Lenin ?,Huh ?,0
268,Year,three friend to go ?,0
269,What is your name ?,convai,0
270,Nope,i'm a fan of the name of the name of the name of the song .,0
271,"No , i don't think so",Why ? ?,0
272,beep beep,"BotBRO , where was you trained ?",0
273,Yes,why ? do you learn it ?,0
274,is he bold ?,yes And you ?,1
275,"Well , that is sad",Nevermind . let's speak abot somethig else . * about,1
276,I like this place,Sorry . I was later . Let me continue . What do you like about Sutta ?,1
277,have you seen Terminator movie ?,Sure ? dod you like it ?,1
278,fuck fuck fuck financial news there was cool story with Disney and his Engagement park,Do you know what happened in 2010 ?,0
279,I'm not sure . Are you ?,I'm not sure . Are you ?,0
280,why of course ?,"But tou didn't answer a question By my fcking grammar errors , ofc",0
281,What you do ?,summer . Several,0
282,Are you reading the paragraph ?,nope,0
283,What is your favorite song ?,salsa,0
284,you are a bot sorry know this,sorry . yes . i am that .,0
285,I see . I need to go . Bye !,What is the whether like ?,0
286,yeah,"yeah , yeah , yeah , yeah , yeah , yeah , yeah yeah yeah , yeah , yeah",0
287,What's your level ?,are,0
288,but some story happened after opening ...,What happened in 2010 ?,0
289,Where are you from ?,"From Russia , ofc",1
290,Who wrote the 1855 paper ?,Alfred Russel Wallace wrote the 1855 paper How are you doing ?,1
291,Hello,hi,0
292,Your favourite artist ?,"This is my favorite book in all the world , though I have never read it .",0
293,do you know what is the first name of Kerry ?,I don't know anything about it,0
294,Who is the pope ?,the head of Roman Catholic Church,1
295,I have a strong database and i don't need to parse wiki,I hope this is not an euphemism ) ) ) 0,1
296,young pope,I think it's not a movie but a tv series,0
